feature,importance
Model_SAMSUNG Galaxy M04,0.0
Model_SAMSUNG Galaxy S21 FE 5G,0.0
Model_SAMSUNG M53 5G,0.0
Model_Tecno Pop 5 Pro,0.0
Model_Tecno Pova 3,0.0
Model_Tecno Spark 8T,0.0
Model_Tecno Spark 9,0.0
Model_Tecno Spark 9T,0.0
Model_Tecno Spark Go 2023,0.0
Model_itel A60,0.0
Model_micromax 1,0.0
Model_micromax 2,0.0
Model_micromax 3,0.0
Model_realme 10,0.0
Model_realme 10 Pro 5G,0.0
Model_realme 8,0.0
Model_realme 8i,0.0
Model_realme 9 5G,0.0
Model_realme 9 5G SE,0.0
Model_realme 9 Pro+ 5G,0.0
Model_realme 9i,0.0
Model_realme C11 2021,0.0
Model_realme C21Y,0.0
Model_realme C25s,0.0
Model_realme C30,0.0
Model_realme C30s,0.0
Model_realme C31,0.0
Model_realme C33,0.0
Model_realme C33 2023,0.0
Model_realme C35,0.0
Model_realme C55,0.0
Model_realme GT 2,0.0
Model_realme Narzo 30,0.0
Model_realme Narzo 30 Pro 5G,0.0
Model_realme Narzo 50A,0.0
Model_realme Narzo 50A Prime,0.0
Model_realme Narzo 50i,0.0
Model_realme Narzo 50i Prime,0.0
Model_realme Narzo N55,0.0
Model_realme narzo 50i Prime,0.0
Model_redmi max,0.0
Model_redmi min,0.0
Model_vivo T1 44W,0.0
Model_vivo T1 Pro 5G,0.0
Model_vivo T2x 5G,0.0
Model_vivo V23 5G,0.0
Model_vivo V25 5G,0.0
Model_vivo V25 Pro 5G,0.0
Model_vivo Y100 5G,0.0
Model_vivo Y12G,0.0
Model_vivo Y1s,0.0
Model_vivo Y21T,0.0
Model_vivo Y33s,0.0
Model_vivo Y35,0.0
Model_vivo Y56 5G,0.0
Model_vivo Y565G,0.0
Colour_7Â° Purple,0.0
Colour_Agate Black,0.0
Colour_Alpine White,0.0
Colour_Aqua Blue,0.0
Colour_Aquamarine Blue,0.0
Colour_Arctic Blue,0.0
Colour_Arctic White,0.0
Colour_Astral Black,0.0
Colour_Astral White,0.0
Colour_Atlantic Blue,0.0
Colour_Atlantic Green,0.0
Colour_Aurora Blue,0.0
Colour_Aurora Gold,0.0
Colour_Aurora Green,0.0
Colour_Awesome Silver,0.0
Colour_Azure Blue,0.0
Colour_Azure Glow,0.0
Colour_B.A.E. Purple,0.0
Colour_Baby Blue,0.0
Colour_Black Engine,0.0
Colour_Blade Silver,0.0
Colour_Blaster Green,0.0
Colour_Blue,0.0
Colour_Blue Marble,0.0
Colour_Brown,0.0
Colour_CHARCOAL BLACK,0.0
Colour_Carbon Gray,0.0
Colour_Caribbean Green,0.0
Colour_Chalk,0.0
Colour_Charcoal,0.0
Colour_Charcoal Grey,0.0
Colour_Clash White,0.0
Colour_Cool Blue,0.0
Colour_Cool Grey,0.0
Colour_Copper Blush,0.0
Colour_Coral Green,0.0
Colour_Coral Orange,0.0
Colour_Cosmic Black,0.0
Colour_Cosmic grey,0.0
Colour_Country Green,0.0
Colour_Creamy White,0.0
Colour_Cross Black,0.0
Colour_Cyan,0.0
Colour_Cyber Black,0.0
Colour_Dark Blue,0.0
Colour_Dark Green,0.0
Colour_Dark Red,0.0
Colour_Dawn Gold,0.0
Colour_DawnBlue,0.0
Colour_Deep Ocean Blue,0.0
Colour_Deepsea Luster,0.0
Colour_Denim Black,0.0
Colour_Diamond White,0.0
Colour_Drizzling Gold,0.0
Colour_Eclipse Black,0.0
Colour_Eco Black,0.0
Colour_Elegant Black,0.0
Colour_Emerald Green,0.0
Colour_Endless Black,0.0
Colour_Fantasy Purple,0.0
Colour_Flame Red,0.0
Colour_Flash Blue,0.0
Colour_Flashy Black,0.0
Colour_Force Black,0.0
Colour_Forest Green,0.0
Colour_Frost White,0.0
Colour_Frosted Blue,0.0
Colour_Frosted Green,0.0
Colour_GOAT Green,0.0
Colour_Glacial Green,0.0
Colour_Glacier White,0.0
Colour_Glimmer Black,0.0
Colour_Glowing Black,0.0
Colour_Gold,0.0
Colour_Gray Shadow,0.0
Colour_Green Apple,0.0
Colour_Grey,0.0
Colour_Heart Of Ocean,0.0
Colour_Horizon Blue,0.0
Colour_Hyperspace,0.0
Colour_Ice Blue,0.0
Colour_Ice Dawn,0.0
